Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lithuania,LTU,13097.4375662948,14514.7832942166,16446.977802261,19113.9861386164,20735.7079776096,18167.6379038272,19827.948684184,22701.5546059767,24578.1306085315,26595.3566840109,28052.4565243541,28915.5715133533,30870.240539754,33760.62939794,36721.9325501206,40809.9308244235,41491.3281824274,45955.5689507242,50455.9203561357,50783.2564002709
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,European Union,EUU,25929.0735041073,26906.3128128116,29244.4085910657,31162.908550835,32625.417935193,31983.9410866259,33055.6827920646,34733.9620643431,35181.6327247676,36304.6947373333,37327.1964714175,38512.7825440294,40844.4246351246,42966.6649131709,44965.8311023269,48546.6455343367,47486.2705370788,51885.3914888604,57454.2413197837,58892.3877078122
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Italy,ITA,29658.0664866674,30240.3395199766,32603.4044839586,34294.3430551779,35653.8378718715,34752.2053772365,35297.8078165432,36789.0542705936,36678.1175205307,36506.3052448908,36383.1448865787,37085.9802319781,40140.5036102244,41770.2838289238,43190.5958275406,46661.9105159611,44435.6434393527,49780.3380006538,56171.5481336644,57651.9855718625
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Germany,DEU,31757.4177276181,32313.736788417,34748.7543257238,36915.3252832162,38443.5386278958,37554.4426993174,39730.4897885271,43398.3443992496,44229.3941921739,45889.0173022052,47938.7968210418,48558.4432970969,51569.9016841198,54110.2536648815,56273.0405627015,59270.7276496985,58685.8726997709,62474.3639990873,67533.0528581721,69027.0945691545
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,France,FRA,28925.1268683664,30431.2367240202,32430.4443144707,34067.4661475639,35053.2627069116,34666.9598878294,35911.5438581409,37510.3759898714,37671.0239268565,39583.3520435045,40218.1258637776,40916.10535718,42880.2351355429,44469.1458856805,46381.0590629455,51130.472314058,49481.8044309652,52469.8555057046,56133.7978733612,58167.1444514627
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United Kingdom,GBR,32055.4717642346,32726.1331883772,34734.8160246415,35523.3115876502,36744.7913584035,35023.3323106015,36487.6718531875,37224.3787645256,38343.0869033484,39954.2191450769,41278.1275079919,42508.2708340719,44082.1164678492,46048.2000506645,47090.4848967293,49911.1566522001,47987.5832915072,50978.9510010202,58392.8553923132,58273.4736972308
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United States,USA,41724.6411982614,44123.3996470026,46301.9876485519,48050.227412195,48570.0594269601,47194.9500893872,48650.6643227232,50065.9789470675,51784.4114692048,53409.7507774372,55304.3155317137,57040.2082136605,58206.6141931841,60322.261424175,63201.0458483768,65604.6815198737,64411.3731779373,71318.3073592183,78035.1753604212,82769.4122114214
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,33019.9772946564,34238.3218147437,37400.3075213334,39111.5190257616,41467.3861879777,40503.2046306821,43042.394637021,44443.7163844726,44755.1624273018,46869.1932887749,47879.5955558233,48910.3324371901,51820.9521305488,55271.5976002662,57233.6231685615,60594.9664001912,62682.2899474389,69652.2330084663,77335.2996121187,73546.8888337114
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sweden,SWE,33809.3854968014,34198.3864576781,37679.7205412732,40814.2916498067,41906.6990173542,40073.1481544863,41956.1290051562,44332.5217389078,45206.9864434727,46098.2321368832,46841.4019746739,48785.1551864585,50289.7687144135,51474.1199115161,53122.438677218,57046.4463076951,57489.2657196218,62675.0634508595,66319.8441758424,67024.3608199127
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,31199.2914503448,32047.7069315564,34447.7143026443,37844.2931586421,40081.2212482066,37968.661743232,38950.5525874191,40845.9566729849,40739.1131809421,41325.8052072321,41547.0984485393,42269.2212218196,44562.4011072069,47234.8528600939,49248.6775395868,52276.1115723994,53296.5792798852,56739.1308987573,61293.0471843923,61574.8681998178
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,14539.9710841117,16638.0779749397,19348.3868589782,22201.3543849265,22803.5194742273,20478.2524752833,21616.7122418461,24652.3610297918,26242.5282659014,27831.1526234213,29403.6584494815,29720.5911161676,31947.7769107437,34506.6486942505,37120.9879761679,40586.3784378889,40672.1340402132,44211.5558816244,47761.8680185354,46669.2879876029
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latvia,LVA,11761.314151214,13343.8894481784,15024.6361475622,17281.0422640276,18634.7309608539,16559.5227779875,17343.4658666613,18618.7015409025,20494.0464806476,21850.1266362473,22973.693280582,24137.87643586,25802.1555784175,27645.8226249653,29817.8047263182,32199.096037709,32741.4207691987,36880.4564610875,39931.6063013618,41384.2516255808
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,,,,,,,,,,,
